|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R21_S11 |   -127.0 |      0.0 |  -147.48 |   -20.02 |  -106.52 |   -20.02 |  -106.52 |    20.02 |  -147.48 |    20.02 | 4096 | 4004 | -147.475 |  -20.015 | -137.475 |  -20.015 | -147.475 |  -10.015 |
| R21_S12 |   -84.75 |      0.0 |  -105.23 |   -20.02 |   -64.27 |   -20.02 |   -64.27 |    20.02 |  -105.23 |    20.02 | 4096 | 4004 | -105.225 |  -20.015 |  -95.225 |  -20.015 | -105.225 |  -10.015 |
| R21_S20 |  -169.25 |    42.25 |  -189.73 |    22.23 |  -148.77 |    22.23 |  -148.77 |    62.27 |  -189.73 |    62.27 | 4096 | 4004 | -189.725 |   22.235 | -179.725 |   22.235 | -189.725 |   32.235 |
| R21_S21 |   -127.0 |    42.25 |  -147.48 |    22.23 |  -106.52 |    22.23 |  -106.52 |    62.27 |  -147.48 |    62.27 | 4096 | 4004 | -147.475 |   22.235 | -137.475 |   22.235 | -147.475 |   32.235 |
| R21_S22 |   -84.75 |    42.25 |  -105.23 |    22.23 |   -64.27 |    22.23 |   -64.27 |    62.27 |  -105.23 |    62.27 | 4096 | 4004 | -105.225 |   22.235 |  -95.225 |   22.235 | -105.225 |   32.235 |
| R22_S00 |   -42.25 |   -42.25 |   -62.73 |   -62.27 |   -21.77 |   -62.27 |   -21.77 |   -22.23 |   -62.73 |   -22.23 | 4096 | 4004 |  -62.725 |  -62.265 |  -52.725 |  -62.265 |  -62.725 |  -52.265 |
| R22_S01 |      0.0 |   -42.25 |   -20.48 |   -62.27 |    20.48 |   -62.27 |    20.48 |   -22.23 |   -20.48 |   -22.23 | 4096 | 4004 |  -20.475 |  -62.265 |  -10.475 |  -62.265 |  -20.475 |  -52.265 |
| R22_S02 |    42.25 |   -42.25 |    21.77 |   -62.27 |    62.73 |   -62.27 |    62.73 |   -22.23 |    21.77 |   -22.23 | 4096 | 4004 |   21.775 |  -62.265 |   31.775 |  -62.265 |   21.775 |  -52.265 |
| R22_S10 |   -42.25 |      0.0 |   -62.73 |   -20.02 |   -21.77 |   -20.02 |   -21.77 |    20.02 |   -62.73 |    20.02 | 4096 | 4004 |  -62.725 |  -20.015 |  -52.725 |  -20.015 |  -62.725 |  -10.015 |
| R22_S11 |      0.0 |      0.0 |   -20.48 |   -20.02 |    20.48 |   -20.02 |    20.48 |    20.02 |   -20.48 |    20.02 | 4096 | 4004 |  -20.475 |  -20.015 |  -10.475 |  -20.015 |  -20.475 |  -10.015 |
